,Borough,Neighborhood,Latitude,Longitude
0,Central,Cantonment area,12.972442,77.580643
1,Central,Domlur,12.9609917,77.6387256
2,Central,Indiranagar,12.971891,77.641151
3,Central,Jeevanbheemanagar,12.9629,77.6595
4,Central,Malleswaram,13.0031,77.5643
5,Central,Pete area,12.9627,77.5758
6,Central,Sadashivanagar,13.0068,77.5813
7,Central,Seshadripuram,12.9935,77.5787
8,Central,Shivajinagar,12.9857,77.6057
9,Central,Ulsoor,12.9817,77.6286
10,Central,Vasanth Nagar,12.9911,77.592
11,Eastern,Bellandur,12.926,77.6762
12,Eastern,CV Raman Nagar,12.9855,77.6639
13,Eastern,Hoodi,12.9922,77.7159
14,Eastern,Krishnarajapuram,13.004,77.6878
15,Eastern,Mahadevapura,12.9913,77.6874
16,Eastern,Marathahalli,12.9592,77.6974
17,Eastern,Varthur,12.9389,77.7412
18,Eastern,Whitefield,12.9698,77.7499
19,NorthEastern,Banaswadi,13.012,77.6471
20,NorthEastern,HBR Layout,13.0377,77.6288
21,NorthEastern,Horamavu,13.0251,77.6597
22,NorthEastern,Kammanahalli,13.0159,77.6379
23,NorthEastern,Kalyan Nagar,13.024,77.6433
24,NorthEastern,Lingarajapuram,13.0084,77.6306
25,NorthEastern,Ramamurthy Nagar,13.0184,77.6781
26,Northern,Hebbal,13.0358,77.597
27,Northern,Jalahalli,13.0528,77.5419
28,Northern,Mathikere,13.0334,77.564
29,Northern,Peenya,13.0285,77.5197
30,Northern,R. T. Nagar,13.0196,77.5968
31,Northern,Vidyaranyapura,13.0858,77.5561
32,Northern,Yelahanka,13.1005,77.594
33,Northern,Yeshwanthpur,13.028,77.5409
34,SouthEastern,Bommanahalli,12.8984,77.6179
35,SouthEastern,Bommasandra,12.8168,77.6989
36,SouthEastern,BTM Layout,12.9166,77.6101
37,SouthEastern,Electronic City,12.840711,77.676369
38,SouthEastern,HSR Layout,12.9081,77.6476
39,SouthEastern,Koramangala,12.9279,77.6271
40,SouthEastern,Madiwala,12.9226,77.6174
41,Southern,Banashankari,12.9255,77.5468
42,Southern,Basavanagudi,12.9421,77.5754
43,Southern,Girinagar,12.9386,77.544
44,Southern,J. P. Nagar,12.9105,77.5857
45,Southern,Jayanagar,12.925,77.5938
46,Southern,Kumaraswamy Layout,12.9038,77.5618
47,Southern,Padmanabhanagar,12.9156,77.5568
48,Southern,Uttarahalli,12.907,77.5521
49,SouthernSuburbs,Anjanapura,12.8604,77.5612
50,SouthernSuburbs,Arekere,12.8875,77.597
51,SouthernSuburbs,Begur,12.8788,77.6377
52,SouthernSuburbs,Gottigere,12.8552,77.5869
53,SouthernSuburbs,Hulimavu,12.8789,77.609
54,SouthernSuburbs,Kothnur,12.8734,77.582
55,Western,Basaveshwaranagar,12.9886,77.5383
56,Western,Kamakshipalya,12.9887,77.5271
57,Western,Kengeri,12.8996,77.4827
58,Western,Mahalakshmi Layout,13.0146,77.5514
59,Western,Nagarbhavi,12.9599,77.5083
60,Western,Nandini Layout,13.016,77.5338
61,Western,Nayandahalli,12.9411,77.5248
62,Western,Rajajinagar,12.9982,77.553
63,Western,Rajarajeshwari Nagar,12.9242,77.5191
64,Western,Vijayanagar,12.9719,77.5299
